JLCPCB Part #;MFR Part #;Library;Manufacturer;Stock;Price (1pc);Price (100pcs);Price (1000pcs);Datasheet URL;Power Rating;Type;Voltage Rating;Temperature Coefficient;Tolerance;Value;Footprint;Dielectric
C17575;0805W8F2402T5E;Basic;uni-royal(uniroyal elec);208491;$0.0019;$0.0012;;https://www.lcsc.com/partdetail/18263-0805W8F2402T5E/C17575;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;24k;805;
C17593;0805W8F2702T5E;Basic;uni-royal(uniroyal elec);22371;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18281-0805W8F2702T5E/C17593;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;27k;805;
C17604;0805W8F2001T5E;Basic;uni-royal(uniroyal elec);1157716;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18292-0805W8F2001T5E/C17604;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;2k;805;
C17614;0805W8F3901T5E;Basic;uni-royal(uniroyal elec);156183;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18302-0805W8F3901T5E/C17614;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;3.9k;805;
C17617;0805W8F3000T5E;Basic;uni-royal(uniroyal elec);488550;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18305-0805W8F3000T5E/C17617;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;300Ω;805;
C17621;0805W8F3002T5E;Basic;uni-royal(uniroyal elec);325657;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18309-0805W8F3002T5E/C17621;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;30k;805;
C17630;0805W8F3300T5E;Basic;uni-royal(uniroyal elec);1669742;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18318-0805W8F3300T5E/C17630;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;330Ω;805;
C17633;0805W8F3302T5E;Basic;uni-royal(uniroyal elec);201559;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18321-0805W8F3302T5E/C17633;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;33k;805;
C17634;0805W8F330JT5E;Basic;uni-royal(uniroyal elec);357139;$0.0016;$0.0010;;https://www.lcsc.com/partdetail/18322-0805W8F330JT5E/C17634;125mW;Thick Film Resistors;150V;±200ppm/℃;±1%;33Ω;805;
C17655;0805W8F3900T5E;Basic;uni-royal(uniroyal elec);205153;$0.0018;$0.0012;;https://www.lcsc.com/partdetail/18343-0805W8F3900T5E/C17655;125mW;Thick Film Resistors;150V;±100ppm/℃;±1%;390Ω;805;
